,disable-inlining,max-memory-inhibit,klee-call-optimisation,use-construct-hash-stp,use-visitor-hash,equality-substitution,check-overshift,check-div-zero,use-branch-cache,use-independent-solver,use-call-paths,use-cex-cache,use-forked-solver,watchdog,const-array-opt,zero-seed-extension,warnings-only-to-file,smtlib-human-readable,warn-all-external-symbols,use-iterative-deepening-time-search,cex-cache-exp,all-external-warnings,readable-posix-inputs,return-null-on-zero-malloc,emit-all-errors,solver-optimize-divides,cex-cache-try-all,simplify-sym-indices,named-seed-matching,disable-verify,track-instruction-time,silent-klee-assume,suppress-external-warnings,cex-cache-superset,verify-each,max-memory,max-stack-frames,max-forks,max-sym-array-size,max-depth,batch-instructions,redzone-size,seed-time,max-solver-time,batch-time,uncovered-update-interval,max-static-fork-pct,max-static-solve-pct,max-static-cpfork-pct,max-static-cpsolve-pct,array-value-symb-ratio,array-value-ratio,search,switch-type,smtlib-display-constants,smtlib-abbreviation-mode,seed-file,sym-arg,sym-files,sym-stdin,Coverage,Accumulated Coverage
1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1707,7807,2830,3166,1198,9682,7,5s,4s,4s,15s,0.4897374103,0.7949315554,0.8863973775,0.3814718902,0.4078477369,0.1912006508,nurs:depth,simple,dec,none,1,14,1 29,7,521,521
2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2967,10783,5449,5485,2281,13654,11,7s,6s,6s,38s,0.07726054889,0.7454065447,0.004602042608,0.856756188,0.01902972762,0.623580806,bfs,simple,hex,none,3,18,2 7,8,637,720
3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1551,8468,4910,1877,2051,8644,9,7s,4s,4s,30s,0.5207799843,0.4896113056,0.3787314177,0.8515388099,0.759027026,0.6758415084,nurs:cpicnt,internal,dec,none,5,8,1 27,6,79,720
4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,2411,15895,7661,4656,3233,14901,14,7s,5s,6s,42s,0.9441599384,0.7635926462,0.237030267,0.1239567508,0.1180827627,0.9043231609,nurs:rp,internal,hex,named,2,14,2 20,12,555,735
5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2164,11557,5136,3974,2534,7656,10,8s,3s,6s,23s,0.04957227159,0.7752803861,0.650347307,0.7887270882,0.728319774,0.681837526,dfs,simple,bin,let,8,14,2 22,10,523,779
6,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3050,19929,9681,6468,3390,20236,14,9s,5s,8s,45s,0.08772699835,0.3476858627,0.1911051584,0.6084791677,0.5707328287,0.9623009275,nurs:depth,simple,dec,named,9,17,2 20,12,530,804
7,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1475,16636,4238,3892,1703,6120,8,7s,3s,4s,23s,0.3544528848,0.2194752338,0.4618992741,0.6176360637,0.7576523481,0.07059464714,dfs,internal,dec,named,7,15,1 4,6,497,805
8,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2175,21896,7209,5541,3789,9846,12,10s,3s,8s,59s,0.4151470197,0.02025362895,0.4038561269,0.862758594,0.5962963337,0.5202745178,random-path,simple,bin,none,9,20,1 5,10,470,805
9,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,844,18734,5785,2421,1406,3661,6,4s,3s,4s,35s,0.1092627243,0.7300633623,0.7601770005,0.7110321065,0.341096853,0.0404074408,nurs:depth,internal,dec,named,9,10,1 22,7,636,887
10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1568,27378,8614,4266,2205,7822,9,7s,5s,8s,86s,0.4484238647,0.731345842,0.3990702127,0.449061775,0.5430804633,0.8084687259,random-state,simple,bin,let,5,25,1 3,10,596,888
