,disable-inlining,max-memory-inhibit,klee-call-optimisation,use-construct-hash-stp,use-visitor-hash,equality-substitution,check-overshift,check-div-zero,use-branch-cache,use-independent-solver,use-call-paths,use-cex-cache,use-forked-solver,watchdog,const-array-opt,zero-seed-extension,warnings-only-to-file,smtlib-human-readable,warn-all-external-symbols,use-iterative-deepening-time-search,cex-cache-exp,all-external-warnings,readable-posix-inputs,return-null-on-zero-malloc,emit-all-errors,solver-optimize-divides,cex-cache-try-all,simplify-sym-indices,named-seed-matching,disable-verify,track-instruction-time,silent-klee-assume,suppress-external-warnings,cex-cache-superset,verify-each,max-memory,max-stack-frames,max-forks,max-sym-array-size,max-depth,batch-instructions,redzone-size,seed-time,max-solver-time,batch-time,uncovered-update-interval,max-static-fork-pct,max-static-solve-pct,max-static-cpfork-pct,max-static-cpsolve-pct,array-value-symb-ratio,array-value-ratio,search,switch-type,smtlib-display-constants,smtlib-abbreviation-mode,seed-file,sym-arg,sym-files,sym-stdin,Coverage,Accumulated Coverage
1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1981,7135,3385,2096,1299,9930,10,5s,4s,4s,15s,0.6195906736,0.419579947,0.7220046726,0.9347693281,0.0351651243,0.4142023019,bfs,internal,bin,none,5,14,2 19,5,1513,1513
2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2892,11592,5655,5211,2171,14362,10,7s,5s,5s,40s,0.1405969374,0.006326073713,0.7231564048,0.5134342479,0.4393183561,0.8422711284,nurs:depth,llvm,bin,named,1,20,2 11,11,1642,1697
3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2651,4868,2112,1859,1672,8967,14,5s,5s,3s,39s,0.4113966371,0.01330924869,0.7804222964,0.561926281,0.7611761838,0.09176567437,nurs:cpicnt,internal,bin,named,5,10,2 30,10,1565,1738
4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4304,8104,4662,2305,3084,15826,11,6s,7s,5s,60s,0.4837373544,0.690503337,0.03935062305,0.3953344315,0.7661231994,0.2745080732,bfs,simple,hex,named,10,19,2 14,15,2195,2244
5,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4252,7159,4353,1409,1909,6249,10,3s,4s,3s,57s,0.2497283999,0.7384501464,0.7886115633,0.6589482264,0.1389845688,0.6519795698,nurs:qc,internal,hex,none,3,11,1 11,10,1464,2302
6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,6268,11999,4786,2160,4282,9536,13,8s,7s,7s,70s,0.09272985307,0.2171769286,0.6733049862,0.9047770806,0.2249191749,0.3016565896,nurs:qc,simple,dec,named,9,28,2 11,15,1439,2305
7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3461,5732,4203,1233,3706,8045,9,3s,7s,3s,61s,0.3093236733,0.377079951,0.5050069293,0.9872180101,0.7139457121,0.9613761751,nurs:md2u,internal,dec,let,3,20,2 2,10,1513,2305
8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,7234,8945,6411,1976,5299,12052,13,4s,7s,4s,94s,0.6882478827,0.5696280687,0.8398007904,0.1520383276,0.1681106788,0.7953798898,nurs:cpicnt,simple,bin,named,4,32,2 24,21,1446,2305
9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3103,5064,5629,1525,3127,5315,7,3s,7s,4s,57s,0.5371075443,0.7599490581,0.7557139969,0.760931666,0.4500863586,0.032303521,nurs:covnew,llvm,hex,let,10,26,2 18,11,1439,2305
10,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,4768,6134,8169,2502,6649,11615,11,4s,7s,6s,139s,0.720036882,0.6529138013,0.5515562111,0.9739448562,0.9062914466,0.7964649471,nurs:md2u,simple,bin,let,1,47,1 22,24,1445,2306
11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2602,5664,5609,918,3880,3487,5,3s,9s,4s,33s,0.7048043128,0.799077581,0.0279251082,0.7611940502,0.1031755623,0.692144404,bfs,llvm,dec,none,2,47,1 29,14,2042,2309
