,disable-inlining,max-memory-inhibit,klee-call-optimisation,use-construct-hash-stp,use-visitor-hash,equality-substitution,check-overshift,check-div-zero,use-branch-cache,use-independent-solver,use-call-paths,use-cex-cache,use-forked-solver,watchdog,const-array-opt,zero-seed-extension,warnings-only-to-file,smtlib-human-readable,warn-all-external-symbols,use-iterative-deepening-time-search,cex-cache-exp,all-external-warnings,readable-posix-inputs,return-null-on-zero-malloc,emit-all-errors,solver-optimize-divides,cex-cache-try-all,simplify-sym-indices,named-seed-matching,disable-verify,track-instruction-time,silent-klee-assume,suppress-external-warnings,cex-cache-superset,verify-each,max-memory,max-stack-frames,max-forks,max-sym-array-size,max-depth,batch-instructions,redzone-size,seed-time,max-solver-time,batch-time,uncovered-update-interval,max-static-fork-pct,max-static-solve-pct,max-static-cpfork-pct,max-static-cpsolve-pct,array-value-symb-ratio,array-value-ratio,search,switch-type,smtlib-display-constants,smtlib-abbreviation-mode,seed-file,sym-arg,sym-files,sym-stdin,Coverage,Accumulated Coverage
1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1529,5277,2845,3838,1787,8487,10,3s,3s,4s,25s,0.5690988761,0.5914166049,0.6418383646,0.006257427527,0.08400406025,0.00079043456,random-path,simple,bin,none,3,11,2 17,7,447,447
2,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2634,11353,4563,4967,2265,12286,14,7s,7s,7s,30s,0.02901425059,0.4441644735,0.7553845723,0.5413340953,0.5430371635,0.7973128073,nurs:rp,simple,dec,let,7,15,1 29,11,880,880
3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2029,8552,2829,2271,1494,6502,9,7s,5s,5s,18s,0.2545349841,0.5678734844,0.5411125006,0.8798427412,0.735618106,0.3298767978,random-state,internal,bin,let,4,9,1 10,8,447,880
4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3543,14350,3519,4989,3129,18033,21,9s,7s,8s,39s,0.3874405085,0.2002428452,0.3293985706,0.485485479,0.6548916161,0.8661401321,nurs:qc,internal,hex,let,1,18,2 22,14,564,914
5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1670,8869,2270,3571,2484,11147,16,8s,5s,6s,25s,0.3167080912,0.4486299888,0.5699334777,0.03062645631,0.9075508716,0.9014959208,nurs:depth,llvm,dec,none,8,13,1 25,4,245,967
6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2458,18585,3754,6566,4396,23287,27,10s,8s,12s,56s,0.7159904372,0.6467832435,0.2583129286,0.07281211557,0.03565767693,0.966105108,nurs:depth,simple,dec,none,10,24,2 28,10,573,981
7,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1694,13618,2358,3400,3472,17416,25,6s,6s,12s,54s,0.3559920903,0.4762853822,0.8094933516,0.299649872,0.2898706484,0.6623620422,nurs:icnt,simple,bin,none,7,12,2 29,9,553,1057
8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3623,27254,3985,8679,6180,27004,29,14s,12s,18s,83s,0.2974727694,0.3534633357,0.2739347934,0.3665819566,0.8677198889,0.853030819,nurs:covnew,internal,hex,none,10,16,2 8,11,559,1065
9,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2417,13033,3662,5458,3154,17833,24,7s,6s,8s,64s,0.7713724527,0.5752490891,0.04598084492,0.9242083201,0.241760296,0.590505662,dfs,simple,dec,let,10,11,1 28,7,1058,1320
10,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,4012,16808,4832,9833,3596,31665,29,18s,13s,16s,84s,0.2263407306,0.03678391759,0.3138111862,0.4761038863,0.5305114074,0.8725093078,random-path,simple,bin,named,2,17,1 24,12,1737,2165
